編號,範圍,項目,GitHub舊版,目前盤點版本,影響與相依,建議（不是已選）,選擇A/B/C,備註,程式或設定位置,可確認修改來源
C13,Calibration 校正,伺服中立目標／到位容差,"[740,2565,3283,1944,2071,989]；容差 100",相同；差值改用較寬的帶符號整數計算,硬體零點不由程式猜；全域 servo_control_mode 仍可能控制所有已接伺服。,B：保留既有目標與數值修正,,,src/rinbo_fsm/src/rinbo_cali.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C14,Calibration 校正,只校正選中腳與成功紀錄,固定全六腿，沒有分腳成功憑據,支援 --plan 選中腳；其他主驅動不參與；保存已確認腳位紀錄,與 robot.sh 逐腳控制、L3 屏蔽相依；不能單獨刪除憑據流程。,B：保留逐腳校正能力,,,src/rinbo_fsm/src/rinbo_cali.cpp; src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S01,Standing 站立,KP 位置修正係數,0.35,0.08,變更位置誤差造成的 PWM；與 KD、前饋和 PWM 上限一起檢視。,C：依實測選值；不要把 Tripod 的 0.38 自動套到這裡,,,src/rinbo_fsm/src/rinbo_standing.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前現場調整可確認；最近 Tripod 恢復沒有更動此值
S02,Standing 站立,KD 速度修正係數,0.002,0.006,現值為原版 3 倍；實際影響也取決於速度濾波。,C：與該階段速度回饋共同評估,,,src/rinbo_fsm/src/rinbo_standing.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S03,Standing 站立,K_FF 速度前饋,0.02,0.005,相同目標速度下前饋為原版四分之一；不是位置保護。,C：與 PWM／摩擦補償成套评估,,,src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/motion_effort.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S04,Standing 站立,額外摩擦補償,無，0 PWM,40×tanh(target_velocity/153.6) PWM,速度接近零時平滑歸零；目前 80 PWM 上限下影響比例大。,C：量測後決定，不能以固定補償取代控制調校,,,src/rinbo_fsm/src/motion_effort.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S05,Standing 站立,控制速度濾波,原始位置差分，無濾波,固定 20 ms；原始速度仍供停穩等判斷,減少速度尖峰，也增加回饋延遲；不等於輸出 slew。,C：比較原始／短時間常數；不要直接改共用預設影響別的模式,,,src/rinbo_fsm/src/control_velocity.hpp; src/rinbo_fsm/src/rinbo_standing.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S06,Standing 站立,主驅動最大 PWM,500,80，且原生共用硬上限也為 80,只改 YAML 到 500 會被拒絕；需同步驗證器，Standing 上限還影響 Manual。,C：與增益、負載和該模式一起評估，不沿用 Tripod 3300,,,src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/safety_invariants.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S07,Standing 站立,尋 Hall／半圈軌跡,尋零直接36°/s；半圈約5秒，終點速度直接歸零,尋零0.5秒加速；半圈加減速，約5.5秒；仍36°/s／180°,最高速度與半圈終點相同，時間與速度連續性不同。,B：保留平滑切換,,,src/rinbo_fsm/src/motor_tracking.hpp; src/rinbo_fsm/src/rinbo_standing.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S08,Standing 站立,到位容許位置誤差,<200 counts，約1.30°,<1000 counts，約6.51°（以55296 counts/rev換算）,這是到位門檻；不是 Tripod 的9000/18000追蹤門檻。,B：依先前明確要求放寬後的值,,,src/rinbo_fsm/src/rinbo_standing.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 19:53 motion_limits 部署記錄可追溯
S09,Standing 站立,到位停穩條件,只檢查到時且位置到位,還需速度 <500 counts/s、連續0.3秒,避免高速經過目標就被判定完成；可分別在備註指定速度／時間。,B：保留停穩確認,,,src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S10,Standing 站立,尋 Hall／轉半圈等待上限,均無明確 timeout,均60秒；可設 >0～600秒,兩個階段分別计時；未完成會留下實際位置、誤差和速度。,B：保留60秒，有需求再選 C 分別調整,,,src/rinbo_fsm/src/rinbo_standing.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S11,Standing 站立,到位後保持出力,0.1×位置誤差，PWM限幅±300，沒有速度阻尼,"min(KP,0.1)×誤差−KD×濾波速度；現值0.08/0.006，限幅±80",不只是到位門檻；它影響等候 Tripod 前的姿態保持。,C：保持阻尼，與上限／KP成套評估,,,src/rinbo_fsm/src/rinbo_standing.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S12,Standing 站立,保持位置遺失保護,無,>12000 counts 時停止，約78.13°；可設上界55296 counts,此停止仍存在；未被 Tripod 的 warn_only 影響。,C：區分保持失效與一般到位，不只改錯誤文字,,,src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
S13,Standing 站立,Standing 完成與退出,全6腳DONE後持續保持，印ALL LEGS STANDING,全部健康腳DONE後持續保持，寫成功紀錄；SIGINT走新版停止,正常完成不是自動退出；恢復舊版需同步六腿條件與流程。,B：保留新版停止及可驗證完成,,,src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
T01,Tripod 步態,KP,0.38,0.38,已恢復，無額外改值。,B：已與原版相同,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T02,Tripod 步態,KD,0.003,0.003,使用者已確認不是0.03。,B：已與原版相同,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T03,Tripod 步態,K_FF,0.005,0.005,速度前饋相同。,B：已與原版相同,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T04,Tripod 步態,摩擦補償,0,0,已取消先前40 PWM補償。,B：已與原版相同,,,src/rinbo_fsm/src/motion_effort.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T05,Tripod 步態,速度回饋,原始差分,5 ms濾波；設0可用原始差分,5ms為離線折衷，尚非實機最佳值。,B：先保留5ms；要純原版比較可選A,,,src/rinbo_fsm/src/control_velocity.hpp; src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T06,Tripod 步態,起步時間,4秒,8秒,8秒也已存在本機已提交HEAD；不是全部由最近修改引入。,B：依你明確指定8秒,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T07,Tripod 步態,起步曲線／銜接,三次曲線，起步末端帶步態速度,五次靜止到靜止，接短暫平滑相位進入,總行程仍一圈；不只是延長時間。,B：保留平滑銜接，若選A須與起步時間一起驗證,,,src/rinbo_fsm/src/tripod_reference.hpp; src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T08,Tripod 步態,起步結束的位置基準,各腿實際位置,相同，另留TRIPOD_REBASE紀錄,起步残差會留紀錄，但不再追補到規劃終點。,B：已恢復原版,,,src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T09,Tripod 步態,Group B 啟動基準,B組啟動時再取B組實際位置,相同，但略過L3；只做一次,不重設A組、不重設硬體encoder、不每次跟著實際位置改零點。,B：已恢復原版,,,src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T10,Tripod 步態,T-ratio 起點／目標,8→1,8→1,到1後持續RUNNING；T-ratio是時間縮放，不是位置保護threshold。,B：已恢復原版,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T11,Tripod 步態,加速計時方式,每callback減0.0002；1kHz時約35秒由8到1,同名ratio_step=-0.0002，乘dt/0.001；每秒減0.2,原版速度取決於回讀頻率；目前用實際經過時間。,B：保留原版名目速度與新版時間計算,,,src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T12,Tripod 步態,最大PWM／額外slew,3300；無額外PWM slew,3300；slew OFF，250/s僅為未啟用的儲存值,不能看到設定裡250就誤判它仍限制Tripod。,B：已與原版出力上限一致,,,src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T13,Tripod 步態,步態多項式／A、B分組,"A=R1,L2,R3；B=L1,R2,L3；B延後半週期",相同基本軌跡與分組；L3不輸出,常數與平滑進入後的軌跡已做數值比對；不是重新設計A/B。,B：相同；L3另看G01,,,src/rinbo_fsm/src/rinbo_tripod.cpp; src/rinbo_fsm/src/tripod_reference.hpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T14,Tripod 步態,負相位與跨圈,floor後負相位再減一圈，會重複扣圈,移除多減的一圈，保留多圈位置，不採最短角度差,此為已確認邊界錯誤；正常活動腳通常不走負相位，非所有實跑異常的原因。,B：保留修正,,,src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T15,Tripod 步態,有限位置誤差保護,沒有這組軟／硬位置停止,現場warn_only；軟9000、10筆且0.5秒；硬18000在stop模式才停,警告值不代表目前會自動停；無效數字仍獨立停止。,B：保留你選擇的warn_only與診斷,,,src/rinbo_fsm/src/tripod_reference.hpp; src/rinbo_fsm/src/rinbo_tripod.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T16,Tripod 步態,正常停止與執行時間,STOPPING每callback ratio+0.002直到10；沒有RUNNING總時限,從最後參考2秒減速、5秒期限；RUNNING仍無總時限,目前不會在到target ratio後自動完成；仍依停止輸入結束。,B：依你明確指定保留新版停止,,,src/rinbo_fsm/src/rinbo_tripod.cpp; src/rinbo_fsm/src/tripod_reference.hpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
T17,Tripod 步態,觸發前後診斷,pid/data與一般日誌，無完整首因／觸發框,TRACE/history、target/actual、raw/filtered速度、原始/限幅PWM、飽和時間、首個原因,追蹤已確認的命令限制問題；不更改控制目標。,B：保留可核對紀錄,,,src/rinbo_fsm/src/rinbo_tripod.cpp,9/9 Tripod比對、21:09與21:42部署／本次對話可追溯；原版相同項另列
G01,共用設定、座標與保護,L3及全域主驅動屏蔽,固定六腿，沒有共享mask,原生FSM L3屏蔽，supported_leg_test,選A會涉及恢復六腿；你目前明確說L3仍故障。Servo全域模式不是逐腳主驅動mask。,B：保留L3；不把其他項A當成解除L3,,,/home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml; src/rinbo_fsm/src/disabled_legs.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G02,共用設定、座標與保護,編碼器比例／方向／零點,Cali/Standing 55296且左反號；Tripod54984.83且右反號,兩套历史慣例均保留；未盲目統一,比例差約0.56%；C不能用猜測取代齒比、編碼器或一圈量測。,B：先保留；實體規格未確認,,,src/rinbo_fsm/src/rinbo_cali.cpp; src/rinbo_fsm/src/rinbo_standing.cpp; src/rinbo_fsm/src/tripod_reference.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G03,共用設定、座標與保護,Cali/Standing反方向行程保護,沒有,相對起點反向超過500 counts即停止,不是禁止所有反向PWM；是辨識實際encoder總行程方向。,B：保留辨識；要調數字可選C,,,src/rinbo_fsm/src/motor_tracking.hpp; src/rinbo_fsm/src/rinbo_cali.cpp; src/rinbo_fsm/src/rinbo_standing.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G04,共用設定、座標與保護,供電電壓範圍,FSM未檢查PowerState,現場18～42V；超界5筆觸發；原生可設定硬界18～42V,動作限制與供電界線是不同層；上電前工具另有門檻。,B：保留供電檢查,,,src/rinbo_fsm/src/safety_invariants.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G05,共用設定、座標與保護,腿電流／bus電流保護,FSM未檢查,腿5A連續25筆；可設硬界10A/100筆；bus30A設定但stop_on_bus_current_limit=false,不能宣稱bus30A目前會自動停止；單位是回讀電流，非PWM。,B：保留現場腿保護；C需硬體額定依據,,,src/rinbo_fsm/src/safety_invariants.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G06,共用設定、座標與保護,馬達／電源回讀失聯期限,沒有完整watchdog,馬達0.25s、電源0.5s；初次資料最多2s；motor來源年齡0.10s、power0.35s,失聯時舊命令不可視為有效；与Bridge100ms命令watchdog是不同方向。,B：保留有效通訊檢查,,,src/rinbo_fsm/src/safety_invariants.hpp; src/rinbo_fsm/src/ros_input_guard.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G07,共用設定、座標與保護,來源身分／序號／QoS,一般訂閱；Cali/Standing/Tripod queue10,最新資料QoS、唯一Bridge來源GID／序號／時間檢查；啟動graph準備最多8s,部分命令與回讀握手欄位依賴新版Bridge。,B：保留整組，不能只換舊Bridge,,,src/rinbo_fsm/src/ros_input_guard.hpp; src/rinbo_fsm/src/latest_state_qos.hpp; src/rinbo_fsm/src/bridge_input_discovery.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G08,共用設定、座標與保護,馬達啟用握手,收到回讀就能開始產生有效命令,等待Bridge epoch、disabled rearm及相關active ack；ready5s、heartbeat/ack0.25s,用來區分送出命令與Bridge接受命令；兩端必須相容。,B：保留新版Bridge/FSM配套,,,src/rinbo_fsm/src/motor_arbiter_handshake.hpp; src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G09,共用設定、座標與保護,唯一設定來源與可調範圍,大多C++常數，各檔獨立,固定site YAML；未知參數／-p／params-file覆寫被拒絕；有原子tune入口,恢復常數可能讓GUI顯示值與實際值分離；改超出硬上界必須連驗證器一起修改。,B：保留單一來源；數值按各行決定,,,src/rinbo_fsm/src/robot_config.cpp; src/rinbo_fsm/src/robot_config.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
G10,共用設定、座標與保護,成功紀錄與單一動作限制,無跨程序成功憑據／排他鎖,revision/hash/boot ID綁定；未完成不能偽造；共享鎖排除同時動作,與Control Panel重試、校正快取、Windows核對相依。,B：保留，優化錯誤說明可選C,,,src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B01,Bridge 通訊與停止,Core目標IP與環境變數,程式setenv CORE_IP=192.168.30.12,啟動參數實際192.168.30.254；YAML預設.2；CORE_MASTER_ADDR=.254:50051；Jetson=.8,原版IP不是當前設備位址；不能逐字回復造成連錯。,B：保留現場位址,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp; src/rinbo_ros_bridge/config/redrhex_safe.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B02,Bridge 通訊與停止,Bridge motor PWM／servo範圍驗證,直接轉送，Bridge無此數值檢查,PWM 0～3300；servo encoder0～65535，無效命令拒絕,Tripod3300與Bridge3300已一致；Windows仍需期望值3300。,B：保留驗證與3300,,,src/rinbo_ros_bridge/src/motor_output_limits.hpp; src/rinbo_ros_bridge/config/redrhex_safe.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B03,Bridge 通訊與停止,命令失聯與過期,無100ms命令watchdog／時戳上限,motor命令timeout100ms、max age100ms；power age200ms,不應把UI動作時長當成有效命令期限。,B：保留,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp; src/rinbo_ros_bridge/config/redrhex_safe.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B04,Bridge 通訊與停止,單一發布者／rearm／ack,任何發布者命令可直接轉送,唯一來源；換來源先5筆停用命令；epoch及相關ack,現行FSM不能直接搭配完全原版Bridge，否則等不到ack。,B：保留兩端配套,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp; src/rinbo_fsm/src/motor_arbiter_handshake.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B05,Bridge 通訊與停止,軟體急停與上電命令epoch,沒有目前的鎖定與跨epoch機制,estop鎖定；false不直接解除；上電命令限制來源與順序，全關電命令有独立處理,保留急停、關電語意，不用位置誤差放寬來清除急停狀態。,B：保留,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp; src/rinbo_ros_bridge/src/power_command_epoch_guard.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B06,Bridge 通訊與停止,回讀時間戳與重播處理,直接將sbRIO stamp換成ROS stamp,ROS stamp採Jetson收到新回讀時間；保留seq；完全重播封包不轉送,兩台時鐘不同時可避免錯判；也不是已量到完整端到端延遲。,B：保留已驗證的來源時間契約,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B07,Bridge 通訊與停止,停止重送／心跳／關閉,主迴圈結束後shutdown，缺明確停用重送,停用重送20ms；心跳50ms；輸出狀態20ms；退出8筆disabled+3筆off,Bridge退出與只停止Tripod不同；舊版原始碼不等於已證實安全關電。,B：保留,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp; src/rinbo_ros_bridge/config/redrhex_safe.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
B08,Bridge 通訊與停止,通訊主迴圈／消息數值映射,主迴圈1000Hz；六腿按原順序直接映射enable/dir/voltage,主迴圈仍1000Hz；保留主要訊息映射，新增驗證與診斷鏡像,名目1000Hz不是實測收到的封包率；PWM未被換算成百分比。,B：核心映射相同,,,src/rinbo_ros_bridge/src/rinbo_ros_bridge.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M01,逐腳動作,逐腳動作模式與參考,無rinbo_manual；舊PID測試不是等價入口,相對位移／定點／速度／相位；平滑對齊、加減速與收尾,選A代表回到不使用此新增入口；不能直接以舊PID测试取代。,B：保留逐腳操作,,,src/rinbo_fsm/src/manual_motion.hpp; src/rinbo_fsm/src/rinbo_manual.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M02,逐腳動作,逐腳KP/KD/FF與摩擦,無此控制器,沿用Standing設定：0.08/0.006/0.005、摩擦40、20ms濾波,調Standing係數會同時影響此路徑；需先拆設定才能完全獨立。,C：評估拆成獨立參數，避免互相牽動,,,src/rinbo_fsm/src/rinbo_manual.cpp; src/rinbo_fsm/src/robot_config.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M03,逐腳動作,逐腳PWM cap與slew,無此控制器,"min(plan cap,Standing cap)=80；硬slew250 PWM/s",Tripod移除slew不影響Manual；可能限制快速動作，需個別評估。,C：用逐腳需求評估，不直接套Tripod3300,,,src/rinbo_fsm/src/rinbo_manual.cpp; src/rinbo_fsm/src/safety_invariants.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M04,逐腳動作,逐腳追蹤門檻／錯誤文字,無此控制器,實際>12000 counts停止，但訊息仍寫>5000,已確認訊息與實際程式不一致；本輪不改，先列入恢復決策。,C：修正文案對齊12000；是否改門檻另註明,,,src/rinbo_fsm/src/rinbo_manual.cpp; src/rinbo_fsm/src/safety_invariants.hpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M05,逐腳動作,逐腳對齊完成條件,無此控制器,對齊後位置差≤2°、速度≤5°/s；超過不進入主動作,與持續追蹤門檻不同。,C：依實際對齊需求評估,,,src/rinbo_fsm/src/rinbo_manual.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
M06,逐腳動作,逐腳時間／速度／加速度,無此控制器,原生可填時間1～60s、速度/加速度1～90；GUI目前L2速度90°/s、加速度10°/s²、10s、PWM80,這是儲存的下次動作設定，不代表正在執行；GUI預設10°/s而原生Plan預設30。,C：檢視目前90°/s需求與80/250相容性,,,src/rinbo_fsm/src/manual_motion.hpp; src/rinbo_control/rinbo_control/plans.py; /home/jetson/.local/state/rinbo_control/settings.json,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
U01,操作台與連線流程,文字Control Panel與步驟,GitHub只有另一套PyQt GUI,robot.sh：選脚/計畫/五階段執行/快捷與收藏/現場模式/到位限制,目前文字台主動作是Manual，沒有直接複製Windows Tripod整套流程。,B：保留文字入口,,,robot.sh; src/rinbo_control/rinbo_control/console.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
U02,操作台與連線流程,第1步連線自動整理,舊GUI只Popen本機Bridge,按1核對並正常停止已識別動作、整理過期owned紀錄、重建自有SSH；重用有效Core/driver/Bridge,不清除無關SSH；登入本身不動作。第3步仍拒絕其他動作占用。,B：保留已明確選擇的第1步行為,,,src/rinbo_control/rinbo_control/connection_recovery.py; src/rinbo_control/rinbo_control/runtime.py; src/rinbo_control/rinbo_control/sbrio.py,本次對話與connection_recovery文件可追溯
U03,操作台與連線流程,操作台消失／子程序生命週期,舊GUI在closeEvent主動送SIGINT，無parent-death wrapper,guardian用parent-death SIGINT通知子程序；含其啟動的Bridge,與Windows nohup wrapper不同；不能混稱關閉任意監看都會關Bridge。,B：保留受控子程序語意；獨立背景服務另選C,,,src/rinbo_control/rinbo_control/guardian.py; src/rinbo_control/rinbo_control/runtime.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
